date,time,from,to,open,high,low,close,return_oc,range_pct
2026-02-01,1769904000000,CL,USD,63.15834,63.456,62.99334,63.16266,6.839951778339772e-05,0.007325398355941585
2026-02-02,1769990400000,CL,USD,63.16266,63.67057,61.323,61.80337,-0.02152046794736006,0.03716705407910302
2026-02-03,1770076800000,CL,USD,61.80337,64.05867,61.00333,63.61876,0.02937364095194163,0.04943646276893975
2026-02-04,1770163200000,CL,USD,63.61376,65.34567,62.738,64.2978,0.010753019472516575,0.040992231869331396
2026-02-05,1770249600000,CL,USD,64.2978,64.531,62.59367,62.736,-0.024290100127842603,0.030130579895424153
2026-02-06,1770336000000,CL,USD,62.736,64.468,62.17167,63.40083,0.010597264728385649,0.03660306681968893
2026-02-08,1770508800000,CL,USD,62.70083,63.05967,62.668,62.8789,0.002839994303105687,0.006246647771648282
2026-02-09,1770595200000,CL,USD,62.87293,64.768,62.61237,64.33217,0.0232093525782878,0.034285502520719206
2026-02-10,1770681600000,CL,USD,64.33217,64.599,63.58954,64.24117,-0.001414533350888182,0.015691371828433647
2026-02-11,1770768000000,CL,USD,64.24117,65.71533,64.10217,64.82683,0.009116583648772342,0.025110999690696693
2026-02-12,1770854400000,CL,USD,64.82683,65.01703,62.35423,62.7705,-0.0317203540571088,0.0410755855253142
2026-02-13,1770940800000,CL,USD,62.7705,63.16933,62.077,62.72817,-0.0006743613640165326,0.017401964298516086
2026-02-15,1771113600000,CL,USD,62.76117,62.90517,62.7391,62.81183,0.000807186991574577,0.00264606284427135
2026-02-16,1771200000000,CL,USD,62.81317,63.75634,62.41693,63.65525,0.013406105757757535,0.02132371284557046
2026-02-17,1771286400000,CL,USD,63.66025,64.012,61.83184,62.22667,-0.022519232959342748,0.03424680236097095
2026-02-18,1771372800000,CL,USD,62.22667,65.474,62.16783,65.0665,0.04563686277925536,0.05313107707675827
2026-02-19,1771459200000,CL,USD,65.0665,66.85917,64.97116,66.4919,0.02190681840885857,0.029016621456510006
2026-02-20,1771545600000,CL,USD,66.49057,67.0675,65.88933,66.37767,-0.0016979851428557528,0.01771935478970919
2026-02-22,1771718400000,CL,USD,65.81167,66.1355,65.81167,66.0181,0.0031366777351189757,0.00492055588317371
2026-02-23,1771804800000,CL,USD,66.0221,67.29367,65.55517,66.28797,0.004026984903539977,0.026332091829857004
2026-02-24,1771891200000,CL,USD,66.28177,67.1565,65.60033,66.05917,-0.003358389493823112,0.023478099634333765
2026-02-25,1771977600000,CL,USD,66.05917,66.6005,65.16683,65.6485,-0.0062166993621021295,0.021702815824055803
2026-02-26,1772064000000,CL,USD,65.6485,66.70833,63.662,65.23383,-0.0063165190369924825,0.04640364974066437
2026-02-27,1772150400000,CL,USD,65.23383,67.815,64.89947,67.30633,0.031770325305137,0.04469352788269528
2026-03-01,1772323200000,CL,USD,71.57833,72.87333,71.05233,71.92533,0.004847835930232075,0.025440660602168257
2026-03-02,1772409600000,CL,USD,71.92267,73.22067,69.29867,70.79033,-0.015743853780734215,0.054530789805217146
2026-03-03,1772496000000,CL,USD,70.79033,77.52133,70.78017,75.20966,0.06242844185074434,0.0952271305982047
2026-03-04,1772582400000,CL,USD,75.21032999999998,76.83233,72.98733,75.44197,0.003079896072786983,0.05112329649397895
2026-03-05,1772668800000,CL,USD,75.4474,81.16633,74.678,78.67567,0.042788353210315995,0.08599805957528033
2026-03-06,1772755200000,CL,USD,78.67567,90.794,77.583,90.06367,0.14474614579068734,0.16791722269413148
2026-03-08,1772928000000,CL,USD,106.44375,107.1,102.0865,104.7195,-0.016198696494627424,0.04709999412835412
2026-03-09,1773014400000,CL,USD,104.7345,115.442,79.8475,86.54375,-0.1736844115358358,0.33985458468794905
2026-03-10,1773100800000,CL,USD,86.5175,89.3075,76.13125,84.695,-0.021065102435923428,0.1522957783107465
2026-03-11,1773187200000,CL,USD,84.64124999999999,93.7025,80.9725,91.88,0.08552272089554457,0.15039948015890606
2026-03-12,1773273600000,CL,USD,91.88875,96.8325,89.04,95.6225,0.040633374596999096,0.08480363483016136
2026-03-13,1773360000000,CL,USD,95.6225,97.6175,91.39875,97.555,0.020209678684410096,0.06503437998379043
2026-03-15,1773532800000,CL,USD,99.82,100.0225,96.9775,97.1825,-0.02642256060909626,0.030504908835904506
2026-03-16,1773619200000,CL,USD,97.19,99.3475,91.97375,93.93375,-0.03350396131289222,0.07586943101142093
2026-03-17,1773705600000,CL,USD,93.9325,97.6675,93.24375,95.2325,0.013839725334681788,0.04709498842253744
2026-03-18,1773792000000,CL,USD,95.2325,99.685,91.4,98.1675,0.0308193106344998,0.08699761110965265
2026-03-19,1773878400000,CL,USD,98.1725,100.265,92.06375,93.795,-0.04458988005806104,0.08353917848684715
2026-03-20,1773964800000,CL,USD,93.77,98.46625,92.30125,97.76125,0.042564252959368755,0.0657459741921724
2026-03-22,1774137600000,CL,USD,98.03,98.43,96.36875,98.075,0.00045904315005612265,0.021026726512292166
2026-03-23,1774224000000,CL,USD,98.065,101.14,84.17375,88.92658,-0.09318737572018555,0.17301024830469589
2026-03-24,1774310400000,CL,USD,88.90566,92.75178,85.99537,88.25695,-0.007296610811954989,0.07599527409166079
2026-03-25,1774396800000,CL,USD,88.25928,90.78195,85.96869,90.2549,0.02261088012501351,0.05453545508189053
2026-03-26,1774483200000,CL,USD,90.25656,94.37004,88.85916,92.22955,0.021859796118974734,0.06105794415386539
