event,market,pre_notional_per_day,event_notional_per_day,post_notional_per_day,event_vs_pre_notional_pct,post_vs_pre_notional_pct,pre_fills_per_day,event_fills_per_day,post_fills_per_day,event_vs_pre_fills_pct,post_vs_pre_fills_pct,pre_opening_fees_per_day,event_opening_fees_per_day,post_opening_fees_per_day,event_vs_pre_fees_pct,post_vs_pre_fees_pct
apr13_canonical,BRENT,23549876.14260344,131567.50461912408,122183.99598739452,-99.4413240060269,-99.48116926285505,103.85714285714286,51.0,23.285714285714285,-50.89408528198075,-77.57909215955985,14580.880408857147,80.47676599999997,84.84382700000002,-99.44806648334408,-99.41811588449445
apr13_canonical,WTI,29037186.66750989,6555474.1321150875,2310970.6323306058,-77.42386613696947,-92.04134112993674,222.28571428571428,365.0,129.57142857142858,64.20308483290489,-41.70951156812339,21277.013133428583,5176.480798000002,1587.8161352857146,-75.67101751764599,-92.53741055979762
mar9_10_cluster,BRENT,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
mar9_10_cluster,WTI,52733082.99179482,194366668.51963615,36257785.87894026,268.5858241018817,-31.242810353830603,642.8571428571429,1899.0,344.57142857142856,195.4,-46.400000000000006,44287.96333528567,143730.2245415001,30711.405144999964,224.5356383931648,-30.655187477245804
